_idx,uuid,sex,age,province,education_level,occupation,성별,연령대,연령대_라벨,시도,교육수준
0,81ca6d112d904c9190cf10a913c59e57,남자,19,경상남,중학교,무직,남성,2,10대,경상남도,중졸
1,29b0190a8c184cfb8ce5c2090fcfd5bf,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
2,1c792e89c5244967b0678840ab2e649a,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
3,864e2783a49d48549cc6942d739bbbc3,남자,19,경기,고등학교,음식 서비스 종사원,남성,2,10대,경기도,고졸
4,0018b6617d77448e9bac1c54cc25d6f0,남자,19,충청북,중학교,무직,남성,2,10대,충청북,중졸
5,09c21a256cdc4fd89186d3de42c36ae0,남자,19,제주,중학교,무직,남성,2,10대,제주특별자치도,중졸
6,02156f30cada4d509ebbcc153c43292f,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
7,beeb170168b1499e95a54f17feabdc00,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
8,c1073d23217c40b18f4f63ed32573186,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
9,2eae50cbacb94f4980824507ef1a5c1c,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
10,f06afd4f8cc94f7aa4d079936c03dfb5,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
11,3921b76310304f86b406b1df8099fed5,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
12,77f72a9d25e7421c8798b67b8bf73b9e,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
13,6c161e9fbc6e466389461a45253d5c71,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
14,34203ffef7dc4ce4931605d014223cb4,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
15,497203b1659c471291aa1c2d7c7a572f,남자,19,전라남,고등학교,무직,남성,2,10대,전라남,고졸
16,c74e4efecfae4759ab638b0400c6004f,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
17,6d205e86ee85481999892e1100f2da64,남자,19,경상북,고등학교,무직,남성,2,10대,경상북도,고졸
18,3e5653a20dae4701827478d8267f9787,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
19,d06559812ff748f28978034fc8ea53a6,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
20,d6eb071b880b45b1b837bfffd8012f18,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
21,7de365e6b1744267a37af29fae5d0749,남자,19,인천,고등학교,화학기계 설치 및 정비원,남성,2,10대,인천광역시,고졸
22,72c9d2f070c74c64b9a311df8893632d,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
23,bbf98c27ca7b4b218c7f7e44dec1f835,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
24,369ca5a09a2e40f787f2f82eca74fa9c,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
25,c7298bd181154b8d8d9b37fe0112044f,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
26,32750eb4448c4a1b9991b058224ac057,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
27,6136cf58c1d2423b9a84afe88926bdb2,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
28,dc5970ccdcd34913bbbcfe9b6520e67e,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
29,f372edfd492148c1a212509d902394f0,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
30,ab08f673f8db4ee2810e2411dba4f8cc,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
31,24ef0e66d52a4b338c7266de4e799458,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
32,da64562f27234128ac9ca5633f77459b,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
33,08df1f655979438ab15416047bf6c80c,남자,19,경기,중학교,음식 서비스 종사원,남성,2,10대,경기도,중졸
34,e1d7f297af144293a79a8ed1008e54df,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
35,8d6d31643f4e4f479737f05ad10a845a,남자,19,대전,고등학교,무직,남성,2,10대,대전광역시,고졸
36,ffbf1da61a964147be1ebe5889edc9f8,남자,19,울산,고등학교,자동차공학 기술자 및 연구원,남성,2,10대,울산광역시,고졸
37,91f740001c3a4a4aa66fe2f360709aae,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
38,8aaad2c79345431f86eb733017aec61d,남자,19,경기,고등학교,경리 사무원,남성,2,10대,경기도,고졸
39,faf3bd8fb85049d09c1aae6c0c91cf08,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
40,bb916a4965a64f51888c63bfecdbddb8,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
41,4062da29a4db48caa661ddd63df2f268,남자,19,경기,중학교,무직,남성,2,10대,경기도,중졸
42,169989a62db9401380f39c893e2ca21d,남자,19,경상북,중학교,무직,남성,2,10대,경상북도,중졸
43,d3bfc600e1274d3bb622241f63269e98,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
44,fc50634ca6914bb990554c815316ee61,남자,19,대구,고등학교,무직,남성,2,10대,대구광역시,고졸
45,1815c50c231b45f1be93d22c866d5bc1,남자,19,경상남,고등학교,무직,남성,2,10대,경상남도,고졸
46,ea18521bd31d4ca09db6913f2ab9926a,남자,19,충청남,고등학교,무직,남성,2,10대,충청남,고졸
47,d8ad7a9f333d46b4aefcd5608ccb4c20,남자,19,부산,고등학교,무직,남성,2,10대,부산광역시,고졸
48,385070c349b44806bfd9df417a0d0dbd,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
49,805c7a46af444b1fa6c8b9a13b6a6016,남자,19,충청북,고등학교,무직,남성,2,10대,충청북,고졸
50,f2a125cae3684e23bfd3ddfec4b7d4aa,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
51,4fd754c1f97c4f1f947728137bc618af,남자,19,광주,고등학교,무직,남성,2,10대,광주광역시,고졸
52,ad04017072c84f55aab7f711e08e7064,남자,19,인천,고등학교,무직,남성,2,10대,인천광역시,고졸
53,72d6deee6e9c4a78af984057feebbafc,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
54,2e2593a50d974737a9893d2e5fcd983e,남자,19,경상북,중학교,무직,남성,2,10대,경상북도,중졸
55,b55b08b886e048f084d39ff42cac0614,남자,19,경기,고등학교,무직,남성,2,10대,경기도,고졸
56,89c25817d6974101a867749a835ad57a,남자,19,서울,중학교,무직,남성,2,10대,서울특별시,중졸
57,6e2ad230f0844e4a865c4e66f1c3affd,남자,19,울산,고등학교,무직,남성,2,10대,울산광역시,고졸
58,21258ba787684321883ab7972cb392e2,남자,19,서울,고등학교,무직,남성,2,10대,서울특별시,고졸
